parent_station,service_hour,from_line,from_direction,to_line,to_direction,comparable_connections,mean_extra_transfer_wait_seconds,missed_scheduled_connection_rate
place-gover,5,Blue,1,Green,0,402,58.517412935323385,0.20895522388059698
place-gover,5,Blue,1,Green,1,402,79.66169154228855,0.42039800995024873
place-gover,5,Green,0,Blue,0,716,116.10754189944134,0.14944134078212287
place-gover,5,Green,0,Blue,1,719,167.8692628650904,0.21696801112656464
place-gover,5,Green,1,Blue,0,722,103.77008310249307,0.20775623268698054
place-gover,5,Green,1,Blue,1,724,185.42817679558007,0.23618784530386736
place-gover,6,Blue,0,Green,0,835,71.97365269461078,0.36167664670658684
place-gover,6,Blue,0,Green,1,835,83.0,0.49221556886227547
place-gover,6,Blue,1,Green,0,843,62.95848161328588,0.3001186239620403
place-gover,6,Blue,1,Green,1,843,69.09727164887308,0.49228944246737844
place-gover,6,Green,0,Blue,0,1389,92.48668106551476,0.2145428365730741
place-gover,6,Green,0,Blue,1,1397,111.74803149606299,0.26198997852541156
place-gover,6,Green,1,Blue,0,1545,87.70355987055017,0.20647249190938508
place-gover,6,Green,1,Blue,1,1545,116.59093851132685,0.25501618122977343
place-gover,7,Blue,0,Green,0,885,71.4870056497175,0.49491525423728816
place-gover,7,Blue,0,Green,1,885,64.68587570621469,0.6734463276836158
place-gover,7,Blue,1,Green,0,886,63.88487584650113,0.38261851015801357
place-gover,7,Blue,1,Green,1,886,66.90406320541761,0.6094808126410836
place-gover,7,Green,0,Blue,0,1345,68.2453531598513,0.21635687732342004
place-gover,7,Green,0,Blue,1,1354,68.39807976366322,0.28064992614475626
place-gover,7,Green,1,Blue,0,1749,71.05431675242995,0.16923956546598048
place-gover,7,Green,1,Blue,1,1749,76.49056603773585,0.21612349914236703
place-gover,8,Blue,0,Green,0,896,60.691964285714285,0.4508928571428571
place-gover,8,Blue,0,Green,1,896,56.683035714285715,0.5859375
place-gover,8,Blue,1,Green,0,872,73.84288990825688,0.40022935779816515
place-gover,8,Blue,1,Green,1,872,53.42545871559633,0.4782110091743119
place-gover,8,Green,0,Blue,0,1389,55.4996400287977,0.2512598992080633
place-gover,8,Green,0,Blue,1,1399,58.16583273766977,0.30736240171551105
place-gover,8,Green,1,Blue,0,1728,76.49016203703704,0.2042824074074074
place-gover,8,Green,1,Blue,1,1729,79.25621746674378,0.2637362637362637
place-gover,9,Blue,0,Green,0,858,54.66899766899767,0.5268065268065268
place-gover,9,Blue,0,Green,1,858,56.80885780885781,0.6095571095571095
place-gover,9,Blue,1,Green,0,868,61.895161290322584,0.4412442396313364
place-gover,9,Blue,1,Green,1,868,62.18663594470046,0.5368663594470046
place-gover,9,Green,0,Blue,0,1443,74.93832293832294,0.21621621621621617
place-gover,9,Green,0,Blue,1,1454,70.99724896836314,0.24896836313617607
place-gover,9,Green,1,Blue,0,1818,76.25302530253025,0.1892189218921892
place-gover,9,Green,1,Blue,1,1819,71.21385376580538,0.23474436503573387
place-gover,10,Blue,0,Green,0,541,64.75046210720888,0.600739371534196
place-gover,10,Blue,0,Green,1,541,79.46765249537893,0.678373382624769
place-gover,10,Blue,1,Green,0,565,77.15575221238939,0.5575221238938053
place-gover,10,Blue,1,Green,1,565,78.59646017699114,0.6106194690265486
place-gover,10,Green,0,Blue,0,1439,156.28492008339126,0.14662960389159135
place-gover,10,Green,0,Blue,1,1449,138.20427881297448,0.18633540372670804
place-gover,10,Green,1,Blue,0,1777,150.1480022509848,0.11423747889701738
place-gover,10,Green,1,Blue,1,1777,147.08441193021946,0.13731007315700616
place-gover,11,Blue,0,Green,0,460,46.97826086956522,0.6152173913043478
place-gover,11,Blue,0,Green,1,460,50.68478260869565,0.7065217391304348
place-gover,11,Blue,1,Green,0,458,44.38646288209607,0.6441048034934498
place-gover,11,Blue,1,Green,1,458,47.02620087336245,0.7205240174672489
place-gover,11,Green,0,Blue,0,1434,118.19874476987448,0.14225941422594138
place-gover,11,Green,0,Blue,1,1443,125.28828828828829,0.1843381843381843
place-gover,11,Green,1,Blue,0,1854,109.34466019417475,0.06850053937432575
place-gover,11,Green,1,Blue,1,1856,97.89331896551724,0.09698275862068961
